Sample collection date,Tester,Site type,Name of Sampling Location,SARS-CoV-2 Detected,7 day average of SARS-CoV-2 concentration,Number of samples in the last 7 days,Units (measuring concentration),City of sampling location,State of sampling location,County of sampling location,Date data last updated
11/3/22,BioBot,Municipal,Fitchburg Public Works,Detected,665332.3067,4,copies/L,Fitchburg,MA,Worcester,1/5/23
9/24/22,BioBot,Municipal,MWRA Southern,Detected,846506.9945,7,copies/L,Winthrop,MA,Suffolk,1/5/23
4/21/21,BioBot,Municipal,MWRA Southern,Detected,255992.8122,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/29/22,BioBot,Municipal,Fall River WWTP,Detected,1560675.315,2,copies/L,Fall River,MA,Bristol,1/5/23
7/24/22,BioBot,Municipal,MWRA Northern,Detected,544938.5113,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/3/22,BioBot,Municipal,Amherst WWTP,Detected,391880.8919,4,copies/L,Hadley,MA,Hampshire,1/5/23
10/28/22,BioBot,Municipal,MWRA Southern,Detected,642290.6576,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/30/21,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,3504466.441,3,copies/L,North Andover,MA,Essex,1/5/23
8/18/22,BioBot,Municipal,Fitchburg Public Works,Detected,1476476.366,4,copies/L,Fitchburg,MA,Worcester,1/5/23
2/7/22,BioBot,Municipal,Upper Blackstone Clean Water,Detected,716337.2357,3,copies/L,Worcester,MA,Worcester,1/5/23
7/9/21,BioBot,Municipal,MWRA Northern,Detected,46341.90822,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/21/22,BioBot,Municipal,Fall River WWTP,Detected,360339.4856,4,copies/L,Fall River,MA,Bristol,1/5/23
12/3/22,BioBot,Municipal,South Hadley Div. of WPC,Detected,766786.4984,4,copies/L,Chicopee,MA,Hampden,1/5/23
7/6/22,BioBot,Municipal,Uxbridge WWTF,Detected,536497.0146,3,copies/L,Uxbridge,MA,Worcester,1/5/23
6/20/20,BioBot,Municipal,MWRA Southern,Detected,23425.56738,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/13/22,BioBot,Municipal,Athol WWTP,Detected,1610201.355,4,copies/L,Athol,MA,Worcester,1/5/23
4/6/22,BioBot,Municipal,Athol WWTP,Detected,766138.789,4,copies/L,Athol,MA,Worcester,1/5/23
11/15/20,BioBot,Municipal,MWRA Northern,Detected,324072.2958,7,copies/L,Winthrop,MA,Suffolk,1/5/23
4/7/22,BioBot,Municipal,Fitchburg Public Works,Detected,385834.1406,5,copies/L,Fitchburg,MA,Worcester,1/5/23
6/1/21,BioBot,Municipal,MWRA Southern,Detected,33687.45415,7,copies/L,Winthrop,MA,Suffolk,1/5/23
5/29/20,BioBot,Municipal,MWRA Southern,Detected,86011.67541,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/30/21,BioBot,Municipal,MWRA Southern,Detected,275466.3378,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/5/22,BioBot,Municipal,MWRA Southern,Detected,645708.7602,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/22/22,BioBot,Municipal,Brockton/ Abington,Detected,1424852.509,4,copies/L,Brockton,MA,Plymouth,1/5/23
10/27/22,BioBot,Municipal,Plymouth Headworks Influent,Detected,545800.5193,3,copies/L,Plymouth,MA,Plymouth,1/5/23
5/30/20,BioBot,Municipal,MWRA Southern,Detected,86121.23046,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/18/22,BioBot,Municipal,Brockton/ Abington,Detected,1459882.097,4,copies/L,Brockton,MA,Plymouth,1/5/23
8/4/22,BioBot,Municipal,Hull WWTF,Detected,1404660.733,3,copies/L,Hull,MA,Plymouth,1/5/23
4/12/22,BioBot,Municipal,Upper Blackstone Clean Water,Detected,656744.6266,4,copies/L,Worcester,MA,Worcester,1/5/23
3/15/22,BioBot,Municipal,MWRA Northern,Detected,120653.6372,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/6/22,BioBot,Municipal,Upper Blackstone Clean Water,Detected,992733.8836,3,copies/L,Worcester,MA,Worcester,1/5/23
9/6/22,BioBot,Municipal,Upper Blackstone Clean Water,Detected,1892470.348,3,copies/L,Worcester,MA,Worcester,1/5/23
7/12/22,BioBot,Municipal,Athol WWTP,Detected,1269875.323,4,copies/L,Athol,MA,Worcester,1/5/23
1/26/22,BioBot,Municipal,MWRA Northern,Detected,1213643.326,7,copies/L,Winthrop,MA,Suffolk,1/5/23
5/28/22,BioBot,Municipal,MWRA Northern,Detected,996279.1375,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/19/21,BioBot,Municipal,Brockton/ Abington,Detected,481297.6469,3,copies/L,Brockton,MA,Plymouth,1/5/23
1/27/22,BioBot,Municipal,MWRA Southern,Detected,1618118.823,7,copies/L,Winthrop,MA,Suffolk,1/5/23
4/18/22,BioBot,Municipal,Upper Blackstone Clean Water,Detected,618857.4194,4,copies/L,Worcester,MA,Worcester,1/5/23
2/22/22,BioBot,Municipal,MWRA Southern,Detected,119958.0776,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/11/22,BioBot,Municipal,MWRA Northern,Detected,1196531.156,7,copies/L,Winthrop,MA,Suffolk,1/5/23
5/10/22,BioBot,Municipal,Upper Blackstone Clean Water,Detected,1285359.557,4,copies/L,Worcester,MA,Worcester,1/5/23
6/28/22,BioBot,Municipal,Haverhill WWTP,Detected,677924.3241,4,copies/L,Haverhill,MA,Essex,1/5/23
4/16/21,BioBot,Municipal,MWRA Southern,Detected,354447.4879,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/26/22,BioBot,Municipal,Haverhill WWTP,Detected,2337971.555,3,copies/L,Haverhill,MA,Essex,1/5/23
9/7/22,BioBot,Municipal,MWRA Southern,Detected,592209.6097,7,copies/L,Winthrop,MA,Suffolk,1/5/23
2/25/21,BioBot,Municipal,MWRA Southern,Detected,422173.6402,7,copies/L,Winthrop,MA,Suffolk,1/5/23
